"ID","NAME","SCIENTIFIC_NAME","LIGHT","WATER","FERTILIZER","TEMPERATURE","HUMIDITY","FLOWERING","PESTS","DISEASES","SOIL","POT_SIZE","PRUNING","PROPAGATION","POISONOUS_PLANT_INFO"
"69","Calathea Plant","CALATHEA ORNATA LINEATA","A calathea plant requires bright indirect light but no direct sun. Direct sun burns the leaves and causes the vibrant colors to fade.","The leaves of calathea plants are easily damaged by the quality of the water you use. Hard water or soft water, water with a high chemical content (fluorine, chlorine, or salt), water that has passed through a softener, or water of poor quality causes leaf tip burn. Use distilled water, rain water, or allow your tap water to sit out over night before using it. Calathea plants like moist but not soggy, soil at all times; never let the plant sit in water. Allow the top 2-3” of the soil to dry out before watering.","Fertilize monthly in the spring, summer, and fall with a basic houseplant food diluted to 1/2 the recommended strength. Never feed a calathea or any houseplant, if it is not actively growing.","Calathea plants prefer temperatures between 65degrees-80degrees Fahrenheit (18.3degrees-27.7degrees Celsius) , and don't do well in cold drafts or temperatures below 55degrees-60degrees Fahrenheit (12.8degrees-15.6degrees Celsius). The leaves of a calathea plant curl when the temperature is too warm.","Calathea plants need high humidity and when the air is too dry they develop brown leaf edges. Increase the humidity by placing the plant on a tray of wet pebbles (be sure the container is on the pebbles and not in the water), setting a humidifier near-by, or by grouping plants together to create a mini-greenhouse effect.","Calathea plant leaves are more beautiful than many flowers. With hundreds of calathea varieties available, some, such as Calathea crocata, White Ice, and Brazilian have gorgeous flowers as well as spectacular leaves.","Spider mites, Aphids , mealy bug, and scale","Calathea plants require high humidity and this encourages bacterial and fungal diseases which appear as leaf lesions.","Grow well in a light, porous, indoor potting soil that retains water but still drains quickly; an African Violet soil mixture is a good choice.","Calathea plants rarely need re-potting.","The only pruning a calathea needs is the removal of brown or crispy leaves.","Calathea plants are difficult to propagate; if you want to try, plant division is the best method.","Calathea are non- poisonous plants."
"70","Calla Lily Plant","ZANTEDESCHIA AETHIOPICA","Calla Lilies require at least six hours a day of very bright indirect light . Avoid direct sun, especially during the middle of the day, since it will burn the leaves and flowers.","These plants like moist soil at all times. Calla Lilies are not drought resistant and should never be allowed to totally dry out. Keep the soil moist but not soggy. Never allow a Calla Lily to sit in water for more than 15 minutes.","Fertilize an indoor Calla Lily every two weeks when the plant is flowering with a liquid plant food low in nitrogen. When the plant is producing only leaves and no flowers, fertilize monthly. Always dilute the plant food to 1/2 the recommended strength. If your Calla Lily is planted outside, use a granular plant food instead of a liquid fertilizer.","Room temperatures should be between 50degrees-75degrees Fahrenheit (10degrees-24degrees Celsius) for optimal growth. Keep Calla Lilies away from heating and air conditioning vents. If planted outdoors, be sure to dig up the Calla Lily bulbs and bring them inside before temperatures dip below freezing.","Calla Lilies do well in average humidity.","The flowers of a Calla Lily are really spaths similar to those of a Peace Lily but much more impressive. The plant usually blooms for about six weeks during the late spring and early summer. Keeping the plant root- bound encourages more flowers. Calla Lilies may be forced to bloom at any time indoors. The long lasting cut flowers are perfect in bouquets and flower arrangements.","Examine a Calla Lily frequently for signs of scale or Aphids .","Calla Lilies are susceptible to various viruses and bacterial infections, especially rhizome rot and gray mold . These problems become evident when leaves and stems start to turn yellow before the plant is normally entering its dormant phase.","Use a good peat moss based potting soil that is well aerated and drains quickly. You can add builder's sand or perlite if the soil seems too heavy and clay-like.","Bulbs can be removed from their pots and stored in a cool dark location during their yearly dormant period. After 2-3 months of rest, plant the Calla Lily rhizomes (bulbs) in a clean pot with fresh rich soil. Use deep pots for Calla Lily bulbs, planting one bulb in a five-or six-inch pot, or two or three bulbs in an eight-inch pot. Plant the Calla Lily rhizomes (bulbs) deep enough so that they are covered by at least twice the height of the bulb. Calla Lilies usually bloom about 60 days after the bulbs are planted.","Calla Lilies only need to be pruned when they are entering their dormant or resting phase.","Callas Lilies can be propagated by division and seeds. The easiest method is to simply divide the rhizomes in the early spring and plant a single rhizome (bulb) in a deep six inch pot. Wait until the plant has started to produce new green leaves before going back to a regular fertilization program.","A Calla Lily is a very poisonous houseplant with a #3 toxicity level . Please keep it away from small children and pets. This plant contains high level s of calcium oxalate and ingestion may cause severe burning and swelling of the mouth, throat, lips, and tongue. Stomach distress and diarrhea can also occur."
"81","Cast Iron Plant","ASPIDISTRA","A Cast Iron plant grows in any low-light to bright filtered light area. When the light is too bright, the older leaves turn brown.","Allow the top 50% of the soil to dry out before watering. The lower the light the less often a Cast Iron plant needs to be watered. In very low light , this plant may need water only every 2-3 weeks.","Feed monthly with a balanced plant food diluted to 1/2 the recommended strength when the plant is actively growing.","A Cast Iron plant does well in temperatures between 50degrees Fahrenheit-75degrees Fahrenheit (10degrees Celsius-23.9degrees Celsius). This plant can even survive in 45degrees Fahrenheit(7.2degrees Celsius).","Regular household humidity","Although a Cast Iron plant is a member of the lily family, its flowers are very small and inconsequential. The flowers appear near the surface of the soil and are often hidden by the leaves. The purple/brown colored flowers are about an inch long and after they die, a dark red berry may appear.","A Cast Iron plant is susceptible to Mealy Bugs and spider mites. Because of the simple leaf structure, pests are easily treated. Read more about these pests and how to treat the in the Glossary of the website.","Provide good air circulation and keep the leaves dry to prevent Leaf Spot Disease caused by fungal and bacterial infections. Read more about Leaf Spot Disease and how to recognize and treat it in the Glossary of the website.","Use a rich organic indoor potting soil such as an African Violet mix.","","A Cast Iron plant rarely needs to be pruned.","Cast Iron plants are propagated by plant division . Read more about plant propagation techniques in the Glossary.","Non- poisonous houseplant."
"82","Cat Palm","CHAMAEDOREA CATARACTARUM","Cat Palms need bright, indirect light but no direct sun.","These plants like moist but not soggy soil at all times. Fronds turn yellow if the soil gets too dry. Salty water or water containing chemicals such as fluoride causes leaf tip burn. Over- watering causes entire fronds to turn brown.","Less rather than more plant food is always better with palms. Feed a Cat Palm monthly in the spring and summer with a balanced plant food diluted to 1/2 the recommended strength. fertilizer once or twice during winter and fall.","Palms like heat, but too much dry heat causes leaf damage. Avoid placing palms in drafts or in front of heaters or air conditioners. Cat Palms prefer 70degrees- 80degrees Fahrenheit (21.1degrees-26.7degrees Celsius) during the day and no lower than 45degrees Fahrenheit(7.2degrees Celsius) at night.","Lack of humidity is another reason Cat Palms develop brown tips. Ideally the room should have about 55% humidity, but this is rarely the case in our homes. You can place a humidifier in the room or place the palm on a wet gravel tray to increase the humidity; just be sure the plant sits on the gravel and not in the water.","","Spider mites, scale , Mealy Bugs , and ants can all be a problem. Read more about these pests and how to treat them in the Glossary of the website.","Helminthosporium, or Leaf Spot is a fungal disease that affects the leaves of a Cat palm. It appears as a reddish-brown lesion between 1/8-1/4"" in length.","A Cat Palm requires a loose potting soil that drains quickly. If your soil is heavy and clay-like, try adding some peat moss or sand.","Palms like to be root- bound. Do not re-pot a Cat Palm until the roots have filled the existing container. Pots must have drip holes in the bottom.","Cut off yellow or brown fronds quickly. Brown leaf tips can be trimmed with a wet scissors. Using a wet scissors usually prevents the browning or yellowing from spreading up the frond.","Palms are propagated by seeds. This is not an easy procedure and is best left to the professionals.","Cat Palms are non- poisonous"
"83","China Doll Plant","RADERMACHERA SINICA","A China Doll Plant requires very bright light .","China Doll plants want to be kept on the dry side. Allow the top 50% of the soil to dry out before watering. The foliage may even turn a pale green when a China Doll plant needs water. Water around the entire soil surface so water reaches all of the roots.","Feed a China Doll plant monthly in the spring and summer when it is actively growing and every other month in the fall and winter with a balanced fertilizer at 1/2 the recommended strength.","A China Doll Plant does well in temperatures between 65degrees-75degrees Fahrenheit (18degrees-24degrees Celsius). Keep China Doll Plants away from drafts and cold windowsills or the leaves fall off.","China Doll Plants grow well in basic household humidity.","A China Doll Plant gets flowers when grown as an outdoor plant, but not when grown indoors.","Spider Mites, Aphids , and Mealy Bugs are attracted to China Doll plants. Because of its many leaves, it is difficult to get rid of houseplant pests on a China Doll plant. Check for insects every week as a precaution.","China Doll plants are prone to fungal infections that can cause the houseplant disease called Leaf Spot. Providing good air circulation and keeping the leaves dry helps prevent Leaf Spot Disease .","Use a rich well-aerated soil that drains quickly for a China Doll plant. Add sand or perlite to loosen the soil if necessary.","","Keep a China Doll plant well-pruned at all times, otherwise the plant becomes leggy, thin, and unsightly. When pruning a China Doll plant, always allow a few leaves to remain on each stem to produce food for the roots.","China Doll houseplants are propagated using Stem Cuttings .","A China Doll plant is a non- poisonous houseplant."
"84","Chinese Evergreen Plant","AGLAONEMA","Chinese Evergreen plants are probably the only indoor plant with large, colorful, variegated leaves that can live in low-light conditions. If placed in medium light, these plants grow more quickly.","Allow the top 25-30% of the soil to dry out before watering. When the soil of a Chinese Evergreen plant is too wet, the stems become mushy and die. When the soil gets too dry or too wet, yellow leaves develop.","Chinese Evergreen plants need very little plant food. Feed every other month with a balanced plant food diluted to 1/4 the recommended strength.","Temperatures below 50degrees Fahrenheit (10degrees C) may damage the leaves; keep a Chinese Evergreen plant away from cold winter drafts and air conditioners.","Chinese Evergreen plants do well in regular household humidity or higher.","Remove Chinese Evergreen flowers as soon as they appear. The flowers are not very attractive and use energy that the plant needs to produce its beautiful leaves.","Mealy Bugs , scale , and Aphids - The "" green solution "", sprayed on the entire plant, usually solves pest problems. (recipe for green solution in the Glossary)","In high humidity, the large leaves of a Chinese Evergreen plant may develop bacterial diseases such as Leaf Spot.","Use a well-aerated houseplant potting mix that drains quickly.","Keep a Chinese Evergreen a little root-bound in a small pot so that the soil can dry out quickly.","If a Chinese Evergreen plant becomes thin and leggy, prune the stems back to where they start to bend. The plant will branch out all along the length of the remaining stem.","Stem Cuttings and plant division .","Chinese Evergreen plants are poisonous with a #2 toxicity level because of the calcium oxalate crystals in the plant. Adverse reactions include: skin irritations after contact with the sap, irritation of mouth, lips, throat, and tongue if leaves are eaten."
"85","Chinese Evergreen Plant - Amelia","AGLAONEMA","Chinese Evergreen plants are one of the few houseplants with light green and gray in the leaves that can grow in low light . The newer varieties that have bright red, pink, yellow, and orange in the leaves require medium to bright light . Never place a Chinese Evergreen in the direct sun.","Allow the top 25-30% of the soil to dry out before watering. When the soil stays too wet for a long period of time, the stalks rot and die. If the soil gets too dry or too wet, yellow leaves develop.","Chinese Evergreen houseplants do not need much fertilizer . Feed every other month with a basic houseplant food diluted to 1/4 the recommended strength when the plant is actively growing.","Temperatures below 50degrees Fahrenheit (10degrees Celsius) can damage the leaves of Chinese Evergreen houseplants. Keep these plants out of cold winter drafts and away from air conditioners.","Chinese Evergreen plants prefer regular household humidity or higher if possible.","If your Chinese Evergreen produces flowers, I recommend immediately cutting them off. The flowers are not very attractive and use energy that the plant needs to produce its beautiful leaves.","A Chinese Evergreen plant is susceptible to Mealy Bugs , scale , and Aphids . The "" green solution "" (recipe in Glossary of the website), sprayed on the entire plant usually solves the problem.","In high humidity, the large leaves of a Chinese Evergreen plant may develop bacterial diseases such as Leaf Spot Disease .","The best soil is a basic, well-aerated houseplant potting soil that drains quickly.","Keep a Chinese Evergreen plant in a small pot so the soil can dry out quickly and the roots are not constantly wet. This helps prevent root rot.","If a Chinese Evergreen plant becomes thin and leggy, prune the stems a few inches above the soil line. The plant will send out new growth at the bottom of the stem and along the length of the stem.","Chinese Evergreen plants are propagated using Stem Cuttings and plant division .","Chinese Evergreen plants are poisonous with a #2 toxicity level due to the calcium oxalate crystals in the plant. Adverse reactions after contact with the sap include: skin irritations, irritation of mouth, lips, throat, and tongue if the leaves are eaten."
"86","Christmas Cactus Plant","SCHLUMBERGERA BRIDGESII","Place a Christmas cactus in bright indirect light but never direct sun. Christmas cactus can live in medium or low light , but flower buds may drop off or never form at all.","Allow the top 50% of the soil to dry out before watering. Buds fall off if the soil is too dry. Over-watering a Christmas cactus causes root rot. Reduce water after a Christmas Cactus has finished blooming. Start watering again normally once the plant starts to produce new leaves.","Feed every two weeks in the spring and summer with a liquid indoor plant food diluted tc 1/2 the recommended strength. Never feed a Christmas Cactus after October 1st.","The correct temperature is important if you want a Christmas Cactus to produce flowers. To set flower buds, the plant needs cool temperatures of 60-65degrees Fahrenheit (16-18degrees Celsius) during the day and even cooler temperatures of 45degrees-55degrees Fahrenheit (7degrees-13degrees Celsius) at night. Once buds have developed, Christmas Cactus like warm temperatures of 70degrees Fahrenheit-75degrees Fahrenheit (21degrees Celsius-24degrees Celsius) during the day and about 10degrees Fahrenheit (-12.2degrees Celsius) cooler at night. Cool temperatures between 65degrees Fahrenheit-70degrees Fahrenheit (18.3degrees Celsius-21.2degrees Celsius) help Christmas cactus flowers last longer.","Christmas cactus plants like moderate household humidity.","Blooms develop when days are short and temperatures are low. Starting in early fall, place a Christmas cactus in total darkness 12 hours a day. Keeping a Christmas cactus plant in a cool area, 60degrees Fahrenheit-65degrees Fahrenheit (15.6degrees Celsius-18.3degrees Celsius) helps the flowers form by Christmas.","Christmas Cactus pests are Mealy Bugs and scale . When treating plant pest problems, avoid getting any sprays on the flowers.","Christmas cactus with necrotic spot virus get spotted, yellow or wilted leaves and stems. Over-watering causes bacterial root rot.","Use a rich acidic soil that drains well. Christmas Cactus love leftover tea.","Christmas cactus grow better and bloom more when they are slightly root-bound in smaller pots. If a Christmas cactus needs to be re-potted, usually only every few years, wait until it has finished flowering in the spring. Never re-pot a Christmas cactus when it is in bloom.","Pruning helps the plant become a full bushy and produce more blooms during the holiday season. The best time to prune a Christmas cactus is about a month after it has finished blooming. This brief rest encourages the Christmas Cactus to produce new growth and branch out. You should never prune a Christmas Cactus once summer has begun.","A Christmas cactus is easily propagated using Stem Cuttings during the spring. Use a segment that has at least three segments, taken from a healthy stem. Allow the Stem Cuttings to dry out for a few hours before planting them to avoid stem rot.","Christmas cactus are non- poisonous plants."
"87","Chrysanthemum Plant","CHRYSANTHEMUM","Place in medium light and away from heating vents, air conditioners, and direct sun to keep blooms lasting longer.","Allow the top few inches of soil to dry out slightly before you water. Green leaves become soft and droopy when the soil is dry.","Indoor mums do not need to be fertilized because they only last about six weeks.","Cool temperatures help the blooms on a Chrysanthemum last longer and high temperatures cause the blooms to quickly fade. 70degrees Fahrenheit (21degrees Celsius) during the day and not below 60degrees F (15.5degrees Celsius) at night are the best temperatures for a Mum plant.","Mums last longer and grow better in high humidity but will do fine in basic household humidity.","There are two different kinds of Chrysanthemum plants, florist Mums and winter hardy fall Mums. Florist Mums don’t do well when planted outside; you can try but don't blame yourself if they die. If you've been enjoying a winter hardy Mum indoors, once the blooms die you can cut the plant back to 4”-5” above the soil line and plant it outside. It is almost impossible to get a Mum to bloom again indoors.","Aphids and thrip s.","","Use a rich fast-draining slightly acidic soil.","Potted Chrysanthemum plants usually come in 4"" and 6"" pots.","Remove flowers as soon as they start to fade or die. Prune a Chrysanthemum plant that has been growing indoors back to a few inches above the soil line before trying to plant it outdoors.","After a florist Mum has finished blooming it should be thrown out. Once a garden Mum has finished blooming indoors, it can be planted outdoors where it will grow and spread year after year.","Chrysanthemums are slightly poisonous with a #1 toxicity level . They are toxic to dogs, cats, and horses. Mums contain Sesquiterpene, lactones, pyrethrins and other potential irritants that can cause vomiting, diarrhea, hypersalivation, incoordination, and skin problems."
"88","Cineraria Plant","PERICALLIS CRUENTA","Cineraria Plants need very bright indirect light but cool temperatures. Place a Cineraria Plant near a north or east-facing window. Light from south & west-facing windows is too hot and causes the flowers on a Cineraria Plant to fade quickly.","Keep a Cineraria Plant moist but never soggy. Always allow the top inch or two of soil in a Cineraria Plantto dry out before watering. Cineraria Plants can sit in the excess water for 15 minutes then be sure to empty the saucer. The more blooms a Cineraria Plant has, the more water it needs.","Feed a Cineraria Plant in April with a water-soluble plant food high in phosphorous at 1/2 the recommended strength.","A Cineraria plant does well in temperatures between 45-55 degrees at night and 55-65 degrees during the day. If it is too warm, the flowers of a Cineraria Plant quickly die.","Cineraria Plants adapt well to basic household humidity.","Beautiful flowers on a Cineraria Plant last about a month in cool temperatures. Cineraria Plants bloom better when root bound in smaller pots.","When a Cineraria Plant is stressed because of inadequate light, too much heat, or very dry air it becomes susceptible to Aphids and whiteflies .","Prevent mold from developing on your Cineraria Plant by quickly removing dead leaves and flowers.","Cineraria plants do well in a quick-draining, well-aerated, loose potting soil that has a lot of peat moss in it.","Cineraria plants are usually found in 4"" and 6"" pots.","Cut dead leaves and flowers off of a Cineraria plant to prevent mold from developing.","Seeds are the best way to propagate a Cineraria Plant.","A Cineraria is a poisonous house plant with a #2 toxicity level and should be kept away from small children and pets."
"89","Clivia Plant","CLIVIA MINIATA","A Clivia plant requires bright, indirect light but no direct sun. Direct sun scorches the leaves and ruins the beautiful flowers. During the summer, a Clivia loves to go outside as long as you keep it in the shade.","Water well and then allow the top 50% of the soil to dry out before watering again. Clivia plants prefer to be on the dry side. Pale green or orange lesions on the leaves indicate you are over-watering.","Once a Clivia plant has finished blooming, usually in the early summer, feed monthly with a balanced indoor plant food diluted to 1/2 the recommended strength. Never fertilize during the 4-6 weeks in the winter when the plant is resting. After the plant has rested, feed with a fertilizer high in potassium to encourage the plant to flower.","A Clivia Plant prefers temperatures between 65degrees-70degrees F (18.3degrees-21.1degrees C) during the spring and early fall. From November to February, when your Clivia plant is ""resting"" the temperature should be 50degrees-55degrees F (10degrees-12.8degrees Celsius). A Clivia plant does not do well in temperatures below 50degrees F (10degrees Celsius).","Average household humidity is adequate for a Clivia.","Keep a Clivia plant root-bound in a small pot to help it bloom more often. Allowing a Clivia plant to rest for about 6 weeks during the winter, in a cool area, helps it flower the following year. After this resting period, move the plant back into a bright, warm area and feed with a fertilizer high in potassium diluted to 1/2 the recommended strength.","Plant insects rarely bother Clivia plants. If Mealy Bugs do appear, wipe them off with a Qtip dipped in alcohol.","Bacterial and viral problems such as root rot, damping-off, rust, leaf spots and bacterial rot.","Use a fast -draining soil that has a lot of peat moss and some sand in it to prevent the roots of your Clivia plant from staying too wet.","A Clivia plant blooms best when it is root-bound in a small pot. Repot every three or four years. If the plant seems very top- heavy and is falling over, use a tall heavy pot to provide stability.","Clivia plants need little or no pruning. Cut off any dying flowers at the base of their stalk as soon as they appear.","These plants are easily propagated by plant division and offsets . Don't be concerned if the Clivia offsets have no roots, roots will develop after a few weeks.","A Clivia plant is a very poisonous houseplant with a #3 toxicity level ."
"90","Coffee Plant","C.ARABICA","Coffee Plants need bright indirect light from an east or west facing window. Avoid direct sunlight.","Water a Coffee Plant when the top 1""-2"" of soil has dried out. These plants are not drought resistant and can suffer permanent damage if the soil totally dries out. Leaves fall off if the plant is over or under watered.","A Coffee Plant really only needs to be fed twice a year, once in March and again in late summer. Use a well balanced plant food (10-10-10) or fish emulsion","These plants prefer constant temperatures between 60 degrees and 75 degrees. Coffee Plants can suffer damage if the temperature goes below 42 degrees or above 78 degrees.","A Coffee Plant needs high humidity so consider placing a small humidifier near it or setting it on a wet pebble tray.","As a Coffee Plant matures it produces small white fragrant blooms, followed by red berries. Inside the red berries are the seeds or beans that can be roasted and ground into coffee.","Keep an eye out for spider mites, scale , Mealy Bugs , and whitefly","These plants require high humidity which makes them susceptible to fungal diseases such as leaf spot and leaf rust.","Use a porous light weight acidic soil that also contains some peat moss or humus.","Repot Coffee plants in the spring if they have outgrown their current pot.","Aggressively cut back straggly new growth to keep the plant short and bushy.","Coffee Plants are best propagated using fresh seeds found inside the bright red berries. Stem Cuttings have very little success.","Although Coffee Plants are not toxic to humans, the caffeine in the berries can adversely affect small children, cats, and dogs causing hyper-activity, diarrhea, and vomiting."
"101","Coleus Plant","SOLENOSTEMON","Very bright light is a must; coleus plants can even gradually get used to a few hours of direct sun. Fluorescent grow lights help make the leaf colors even more spectacular.","A coleus a a fast growing plant and dries out more quickly than many other indoor plants. Allow the top inch or two of soil to dry out before watering. Frequent wilting due to under-watering causes the leaves to develop crispy edges, dull colors, and brown spots. Over-watering results in root rot.","The best fertilizer for a coleus plant is fish emulsion. If fish emulsion is not available, feed monthly with a balanced plant food diluted to 1/2 the recommended strength.","A coleus plant likes warm temperatures between 70degrees-85degrees Fahrenheit (21.1degrees-29.4degrees Celsius) though it can survive in temperatures as low as 55degrees Fahrenheit (12degrees Celsius).","High humidity is preferable, but a coleus still does well in homes and offices.","It's recommended that you pinch off the small flowers as soon as they appear to encourage the beautiful leaves to grow.","Mealy Bugs, Aphids, and whitefly are plant pests attracted to a coleus. Check your plant weekly so these pests don't get a foothold on too many of the leaves. Washing a coleus plant frequently with warm water helps keep insects away. Once infested, spray your coleus with the ""green solution"" and place yellow sticky insect cards on the soil to trap flying insects.","Because a coleus plant likes high humidity, powdery mildew can be a disease problem.","Use a quick draining well-aerated potting soil; add sand or perlite if the soil is too heavy.","Coleus are very fast growing plants so be sure to check the roots every few months to see if the plant has out grown its container. Always move the plant to the next size pot and nothing larger to prevent the soil from staying wet too long and causing root rot.","Aggressively prune the the leaf tips to keep the plant bushy and prevent if from becoming leggy.","A coleus is easily propagated from Stem Cuttings .","Although these plants are listed as non- poisonous , they are not considered totally safe. I'd keep a coleus away from pets and small children."
"102","Croton Plant","CODIAEUM VARIEGATUM","Croton houseplants need bright light to maintain their colorful leaves. If there is insufficient light, new leaves are green not predominantly yellow, red, or orange. Too much direct sun causes phototoridation, a condition that makes Croton leaves gray and dull looking.","Allow the top 25%-30% of the soil to dry out before watering. Crunchy leaves indicate over-watering. Leaves become soft and droop when your plant needs water. When a croton is severely over or under-watered leaves drop off.","Fertilize a croton monthly in the spring and fall and every two weeks in the summer with a basic houseplant food diluted to 1/2 the recommended strength. If your Croton is in a bright sunny spot, but the new leaves are coming in green, reduce the amount of plant food. Too much fertilizer also causes the leaves to curl.","Croton Plants prefer warm temperatures between 60degrees-80degrees Fahrenheit (15.6degrees-26.7degrees Celsius).","High humidity is a plus.","The flowers on a croton houseplant are small and inconsequential. I'd recommend removing them as soon as they appear so they don't drain the plant's energy and hinder leaf development.","Crotons are susceptible to Mealy Bugs , scale , and Fungus Gnats but it is spider mites that do the most damage. Because croton houseplants have multi-colored leaves, it is often difficult to see the spider mites. These plant pests suck the color from the leaves and ruin the plant. Thoroughly spray your Croton with the "" green solution "" (recipe in the Glossary) once a month as a preventative measure. See a picture of each of these insects in the Glossary.","Fungal and bacteria infections may occur because of the humid environment and moist soil crotons require. The most common diseases to look out for are powdery mildew and Leaf Spot Disease . See a picture and read more about these diseases in the Glossary.","Use a rich potting soil for your croton plants. The soil should be loose and drain well but still retain water.","Re-pot a croton to the next size pot when its roots have filled the existing container. Be sure there are drip holes in the bottom of the pot so excess water can drain out.","Trim the stem tips to encourage new growth and keep the plant bushy and full.","Stem Cuttings and air layering are the best way to propagate crotons. Individual leaves can be rooted and used in dish gardens. You can read more about propagation techniques in the Glossary of the website.","Crotons are very poisonous with a #3 toxicity level ."
"103","Crown of Thorns Plant","EUPHORBIA MILII","A Crown of Thorns plant needs as much bright indirect light as you can provide, but no direct sun.","When a Crown of Thorns plant is actively growing, usually from late spring to early fall, water well and then allow the top 50% of the soil to dry out before watering again. Reduce the amount of water when a Crown of Thorns plant is not producing new leaves and flowers, but never allow the soil to totally dry out. A Crown of Thorns plant can get severe root damage if the soil gets too dry.","Feed monthly when it is actively growing with a water-soluble fertilizer diluted to 1/2 the recommended strength. Use a plant food low in nitrogen and high in phosphorous to limit leaf growth and encourage blooms on a Crown of Thorns plant.","A Crown of Thorns plant likes to be warm and does well in temperatures between 60degrees- 95degrees Fahrenheit (15.6degrees-35degrees Celsius). A Crown of Thorns plant may lose leaves if the temperature goes below 55degrees Fahrenheit (12.8degrees Celsius).","A Crown of Thorns plant is a desert Succulent Plant so average to low humidity is sufficient.","In the early spring through late summer, a Crown of Thorns plant produces colorful bracts in red, yellow, and pink surrounding tiny flowers . Under the right conditions, a Crown of Thorns plant will bloom all year.","A Crown of Thorns plant is very pest resistant. Mealy Bugs and Aphids are the main plant pests to keep an eye out for.","Plant mildew and fungus are two plant diseases that can develop if a Crown of Thorns plant is kept too moist or if the humidity is too high. Plant diseases often occur if the room is cool and the light inadequate; so always provide good air circulation and warm temperatures.","Use a sandy, well-drained soil that is 2/3 cactus or succulent potting soil and 1/3 perlite or coarse sand. The soil should drain quickly to prevent root-rot.","A Crown of Thorns plant needs re-potting about every two or three years.","You can prune and shape a Crown of Thorns plant after it has finished blooming.","Propagate in the spring and early summer using 3""- 4"" stem tip cuttings. Be sure to wear gloves to protect your hands from the latex that flows from any cuts on the stem. Dip the Crown of Thorns stem tip cuttings in cold water and spray the trimmed areas on the mother plant with cold water to stop the oozing milky sap. Allow Crown of Thorns plant clippings to dry out for a few days and form a callus on the cut end before planting them.","A Crown of Thorns is a poisonous houseplant with a level #2 toxicity. Broken or damaged leaves and stems ooze a milky latex substance that may cause blistering and pain if it gets on any open cuts. If a child or pet eats any part of a Crown of Thorns plant, severe mouth irritation, gastro- intestinal problems, and even hemorrhage can occur."
"104","Ctenanthe Plant","","Ctenanthes like bright indirect light . If there is insufficient light, new leaves appear solid green rather than patterned with attractive colors. If there is too much light, the colors in the leaves fade.","Keep the soil evenly moist but never soggy. Ctenanthes do not like to dry out, and do not like cold or hard water.","Fertilize monthly in the spring and summer diluting the plant food at 1/2 the recommended strength. Fertilize every other month in the fall and winter. Never feed a Ctenanthe immediately after repotting, wait at least 6 weeks.","Ctenanthes like warm consistent temperatures and will not tolerate temperatures below 60degrees Fahrenheit (15degrees Celsius).","High humidity is very important. If the air is dry, place your Ctenanthe on a pebble tray filled with water. Be sure the plant is sitting on the pebbles and not in the water.","The white or yellow flowers are small and inconsequential in comparison to the beautiful leaves. The flowers have 3 sepals, 3 petals, and form a short funnel.","Spider mite and mealy bug are the pests to look out for.","botrytis , a fungal disease, can occur because of the high humidity these plants require.","Use a good all purpose potting mix that drains well but still retains moisture.","Re-pot once a year or every other year depending upon how quickly the plant roots fill the container.","A Ctenanthe rarely needs pruning, just remove any dead growth.","Ctenanthe plants are easily propagated using the offsets that develop into bushy clumps around the base of the plant. When propagating, it is important to use the same type of soil as was used for the original plant. Stem Cuttings is another propagation choice. Keep the new plants warm and the soil moist until established.","A Ctenanthe plant is slightly poisonous , although it is often listed as non-toxic. It may cause individual allergic reactions. The ASPCA states that it is not poisonous to dogs and cats."
